"address","business_id","categories","city","is_open","latitude","longitude","name","postal_code","review_count","stars","state"
"7930 Rea Rd","g92QApwbpRQXXpDeXZLrwA","Hair Salons, Beauty & Spas","Charlotte",True,"35","-81","Doolittle's","28277","7","3","NC"
"9300 Harris Corners Pkwy, Ste 120","bm_j5ZBebsFCegCI0Kg_0w","Arts & Entertainment, Event Planning & Services, Professional Sports Teams, Hotels & Travel, Tours","Charlotte",True,"35","-81","QuintEvents","28269","4","4","NC"
"1514 E Blvd","hd4DGQ3rZkg2lzw4x4D-5A","Barbeque, American (Traditional), Restaurants","Charlotte",False,"35","-81","Boardwalk Billy's","28203","10","3","NC"
NULL,"SoX1KYN-59_0HyOWA4-Zfg","Local Services, Couriers & Delivery Services, Junk Removal & Hauling, Movers, Home Services","Charlotte",False,"35","-81","The Moving Masters","28209","8","5","NC"
"8215 University City Blvd","n6dds9NX1YetxGRJ6dhIlQ","Buffets, Restaurants","Charlotte",True,"35","-81","River Buffet & Grill","28213","17","3","NC"
"1055 Metropolitan Ave","7u_1pr2Q8ma3mAYR_ZzBjg","Computers, Shopping, Electronics","Charlotte",True,"35","-81","Best Buy Midtown Charlotte","28204","58","2","NC"
"5501 Carnegie Blvd","HBBZRHpJG3L4lXLWz910JQ","American (Traditional), Restaurants","Charlotte",True,"35","-81","Flagstones","28209","9","5","NC"
"10526 English Setter Way","TF4fZU0M-dC2qXmUNL3KXw","Event Planning & Services, Henna Artists, Beauty & Spas, Tattoo","Charlotte",True,"35","-81","Naseera Fazil Henna Art in Charlotte","28269","8","5","NC"
"517 University Center Blvd","XMrLwzmEAsfNpbKRC7vUzQ","Chicken Wings, Tacos, Restaurants, American (Traditional), Sports Bars, Nightlife, American (New), Bars, Mexican","Charlotte",True,"35","-81","Taco Mac","28262","210","3","NC"
"7802A Fairview Rd","vAgV7hgQF8IazGNRlNtDiw","Pizza, Italian, Restaurants, Chicken Wings","Charlotte",True,"35","-81","Pizza Hut","28226","29","2","NC"
"1600 E Blvd","wU8Sld-ehrRXiuH1QcWTcg","Greek, Southern, Mediterranean, Sandwiches, Restaurants","Charlotte",True,"35","-81","Showmars","28203","45","4","NC"
"601 S Kings Dr","3f2dKT9PgLipoNi6vebnDQ","Restaurants, Chinese","Charlotte",True,"35","-81","Fortune Cookie","28204","31","3","NC"
"205 S Kings Dr, Ste 100","V19SJT2zo8ydJWhMB_31SA","Mediterranean, Restaurants","Charlotte",True,"35","-81","Taziki's Mediterranean Cafe","28204","106","4","NC"
"1909 Sardis Rd N","kM7HltgIyMov66HCwnSh-Q","Thrift Stores, Shopping","Charlotte",True,"35","-81","Goodwill","28270","11","4","NC"
"10701 Mcmullen Creek Pkwy, Ste C","MnW30cvtxLbWcw2T1f0WXQ","Pilates, Active Life, Barre Classes, Fitness & Instruction, Yoga","Charlotte",True,"35","-81","Pilates of Charlotte","28226","3","5","NC"
"1822 Sunnyside Ave","dHaI3mS8kPW-KVmeLdzzmw","Home & Garden, Building Supplies, Home Services, Countertop Installation, Shopping, Masonry/Concrete, Kitchen & Bath","Charlotte",True,"35","-81","Harkey Tile & Stone","28204","4","3","NC"
"2904 Yorkmont Rd","0IySwcfqwJjpHPsYwjpAkg","Fast Food, Sandwiches, Restaurants","Charlotte",True,"35","-81","Subway","28208","7","4","NC"
"4400 Sharon Rd, Ste E10","XQh8Xu6uF1FFgUnOIdQNOg","Accessories, Fashion, Home Decor, Shopping, Jewelry, Home & Garden","Charlotte",True,"35","-81","Kendra Scott","28211","9","5","NC"
"5117 S Blvd","JXGyLKoAmNfC0IDe0NYZbA","Buffets, Restaurants, American (Traditional)","Charlotte",False,"35","-81","Souper Salad","28217","4","3","NC"
"7308 E Independence Blvd, Ste A","obtnstR14YCxhp7B_oOMEA","Shopping, Gift Shops, Fashion, Tobacco Shops, Jewelry, Local Services, Flowers & Gifts, Screen Printing/T-Shirt Printing, Vape Shops, Head Shops","Charlotte",True,"35","-81","Infinity's End","28227","7","4","NC"
"1520 South Blvd","OFSM1cTMfFobADhqq1WcEw","Nightlife, Lounges, Bars, Dance Clubs","Charlotte",False,"35","-81","On the Roxx","28203","10","3","NC"
"9905 Northlake Mall Pkwy","H5aJsGJu8211pUms6otexg","Restaurants, Fast Food, Burgers","Charlotte",True,"35","-81","Wendy's","28216","20","2","NC"
"3500 Latrobe Dr, Ste 300","8CPVh2uBLLYTIfv65j9wlQ","Barbeque, Food, Event Planning & Services, Southern, Caterers, Food Trucks, Restaurants","Charlotte",True,"35","-81","Rocky Top BBQ Co","28211","10","3","NC"
NULL,"Zo9nErKOVrY9d7Bfa1Gn2g","Soul Food, American (Traditional), Comfort Food, Restaurants, Food Trucks, Food, Southern","Charlotte",True,"35","-81","Comfort Foods on Wheels","28027","3","5","NC"
"3509 David Cox Rd","tzYcd4njGLGya9igO2aYPg","Restaurants, Delis, Sandwiches, Event Planning & Services, Salad, Caterers","Charlotte",True,"35","-81","Jason's Deli","28269","55","4","NC"
"725 Providence Rd, Ste 301","Om1__4RaL8_thXu_K_7XCA","Health & Medical, Pediatric Dentists, Cosmetic Dentists, Dentists, General Dentistry","Charlotte",True,"35","-81","Myers Park Dental Care","28207","9","3","NC"
"224 W 10th St","gXYevYIEOvyrmc7gd35qrg","Tapas Bars, Nightlife, Food, Cafes, Restaurants, Pubs, Desserts, Wine Bars, Bars","Charlotte",True,"35","-81","POPLAR  Tapas. Wine. Spirits","28202","58","5","NC"
"5110 Park Rd","MTLs08qW1hb72oeNvxTLPg","Sandwiches, Restaurants","Charlotte",False,"35","-81","Penn Station East Coast Subs","28209","22","4","NC"
"315 Arlington Ave, Ste 2101","UlYw27BpVYzlvTvufbnqmA","Massage, Trainers, Fitness & Instruction, Beauty & Spas, Yoga, Active Life","Charlotte",True,"35","-81","Petro Martynyuk Fitness+Wellness","28203","9","5","NC"
"1824 Statesville Ave","g1AAIfK0io5oD4edjtMI8Q","Public Services & Government, Landmarks & Historical Buildings, Event Planning & Services, Venues & Event Spaces","Charlotte",True,"35","-81","Camp North End","28206","10","5","NC"
"2301 The Plz","ntMauFOy3bpFqrYG7n0v2Q","Restaurants, Chicken Wings","Charlotte",True,"35","-81","Chicken King","28205","8","4","NC"
"4525 Cameron Valley Pkwy","lWDo5lDJNF9JABDSFHGk-A","Medical Centers, Health & Medical, Doctors","Charlotte",True,"35","-81","Mecklenburg Medical Group","28211","16","3","NC"
"2908 Oak Lake Blvd","c9sUbc-SoW7xCOK8lS2ZpQ","Seafood, Japanese, Food, Restaurants","Charlotte",True,"35","-81","Hibachi Express & Grill","28208","38","3","NC"
"5622 E Independence Blvd, Ste 124","NJ_SLAaha6YD21EOGhluTQ","Departments of Motor Vehicles, Public Services & Government","Charlotte",True,"35","-81","NC License Plate Agency","28212","28","2","NC"
"3930 Park Rd","Acjes3cTIRkjA2KbyLwwkA","Pet Services, Pet Groomers, Pets","Charlotte",True,"35","-81","Bark Street","28209","20","4","NC"
"3230 Prosperity Church Rd, Ste 203","V5ZFfjPpC5ENfcb0EgBlYw","Health & Medical, Acupuncture, Chiropractors","Charlotte",True,"35","-81","Jaffe Chiropractic","28269","5","4","NC"
"11301 Golf Links Dr N, Ste 106","Gtanh7f41EF6AktfcqYZmQ","Shopping, Eyewear & Opticians, Optometrists, Health & Medical","Charlotte",True,"35","-81","Queen City Eye Center","28277","5","4","NC"
"517 S Sharon Amity Rd","Fxx5PWS2seOqbYJPfqD1lw","Doctors, Medical Centers, Health & Medical, Pediatricians","Charlotte",False,"35","-81","Eastover Pediatrics","28211","3","4","NC"
"1019 Alleghany St","3AtzUXZuCljfNUVRtle2Mw","American (Traditional), Restaurants, Southern","Charlotte",True,"35","-81","Gardenia Restaurant","28208","29","4","NC"
"10720 S Tryon St, Ste O","-RTEVGUP2wnKB3PV-_fueg","Restaurants, Delis, Wraps, Sandwiches","Charlotte",True,"35","-81","Stacey's Deli & Catering","28273","12","5","NC"
"1537 W Blvd","2Qz80YiECe_d5-zb1GwbpQ","Burgers, American (Traditional), Chicken Wings, Restaurants","Charlotte",False,"35","-81","U Name It Restaurant","28208","4","5","NC"
"3031 Providence Rd","BQnkKdrU-XeFJgfWCN8LTQ","Education, Preschools","Charlotte",True,"35","-81","Providence Preparatory School","28211","7","4","NC"
"7601 Pineville Matthews, Ste A","j44DGewcJlKEs46nzg4Fgg","Event Planning & Services, Party Supplies","Charlotte",True,"35","-81","Party City","28226","8","2","NC"
"921 N Wendover Rd","50T6rFMEd37-LtBMxMzOqg","Public Services & Government, Post Offices","Charlotte",False,"35","-81","United States Post Office","28211","3","1","NC"
"12806 S Tryon St","0D6NKcLzVfQ3RcEPySmzDw","Restaurants, Sushi Bars, Japanese","Charlotte",True,"35","-81","Masa Sushi & Asian Grill","28273","121","4","NC"
"5524 New Fashion Way, Ste 460","q0uxPNDHw3SCeZwQX1RcNA","Arts & Crafts, Embroidery & Crochet, Fashion, Accessories, Shopping","Charlotte",True,"35","-81","Touch of the South","28278","3","1","NC"
"Providence Road At Ballantyne Commons Pkwy","dIyayCTdjyvqKvEjljYPSw","Farmers Market, Food","Charlotte",True,"35","-81","Providence Farms Produce","28263","7","4","NC"
"6801 N Lake Mall Dr, #207","7fD4xn76oSgksqfkOpG9qw","Restaurants, Sushi Bars, Japanese, Chinese","Charlotte",True,"35","-81","Suki Hana","28216","5","3","NC"
"1714 South Blvd","HPhtgNS6GQe523P8LZHylg","American (Traditional), Restaurants","Charlotte",True,"35","-81","Rosemont","28203","93","4","NC"
"3518 Rhett Butler Pl","JnyhtzUCRVE1qpK6pXNKKA","Pets, Pet Services, Pet Sitting","Charlotte",True,"35","-81","Furry Pals","28270","8","4","NC"
"7820 Ballantyne Commons Pkwy, Ste 103","ACo1s-vuEDgOn6pA8z3y7g","General Dentistry, Dentists, Counseling & Mental Health, Health & Medical","Charlotte",True,"35","-81","Charlotte Headache Center","28277","3","3","NC"
"500 W 5th St","DO-C-ixd1wJZz7GXp1DObw","Dance Clubs, Nightlife","Charlotte",True,"35","-81","5th Element","28202","3","2","NC"
"3100 N Davidson St","2UOLKEDrN6i5FABWpIrdgw","Fashion, Women's Clothing, Shopping","Charlotte",False,"35","-81","Vivian B Boutique","28205","3","4","NC"
"3901 Providence Rd, Suite G","AhbNhI6fyUlB1gB7vKX2Nw","Italian, Pizza, Restaurants, Sandwiches, Chicken Wings, Fast Food","Charlotte",True,"35","-81","Domino's","28173","12","4","NC"
"3549 N Sharon Amity, Ste 202","Rdov36R4fjrT4cfXJUxgfg","Mobile Phone Repair, Electronics Repair, IT Services & Computer Repair, Mobile Phones, Local Services, Shopping","Charlotte",True,"35","-81","EZ iphone repair","28205","6","5","NC"
"16631 Lancaster Hwy","ECq_l9qahT70fMLQaLkRiA","Dry Cleaning & Laundry, Laundry Services, Local Services","Charlotte",True,"35","-81","Alpine Cleaners","28277","3","2","NC"
"1534 E Blvd","MB0jcIBiw-J3T7xb_VetFA","Laundry Services, Local Services, Dry Cleaning & Laundry","Charlotte",True,"35","-81","Dilworth Cleaners","28203","7","2","NC"
"6414 Rea Rd","poVX8KYBX7arnhIl2h000Q","Shopping Centers, Shopping","Charlotte",True,"35","-81","Piper Glen Shopping Center","28277","5","4","NC"
"2519 N Graham St","rH3T4ZITiUpwwKqCyYCWKg","Sandwiches, Street Vendors, Food, Restaurants, Greek, Breakfast & Brunch","Charlotte",True,"35","-81","Graham Street Grill","28206","15","5","NC"
"3333 Pineville Matthews Rd","Ebsd4gjMWvbwssDRDsflVQ","Thai, Restaurants","Charlotte",True,"35","-81","Chi Thai","28226","34","4","NC"
"5501 Josh Birmingham Pkwy","VWRyWe0IAQ9IrAq5-B_CXg","Transportation, Hotels & Travel, Airlines","Charlotte",True,"35","-81","Southwest Airlines","28208","19","4","NC"
"4745 Silabert Ave","3Z3EMzYlOdKtdxQOvwMtPQ","Home Services, Roofing","Charlotte",True,"35","-81","Hollingsworth Roofing","28205","7","4","NC"
"9720 S Tryon St","G3mBu1HOiL6yr2G2S0JJFg","Doctors, Health & Medical, Physical Therapy, Family Practice","Charlotte",True,"35","-81","Arrowood Medical Center","28273","3","3","NC"
"4520 N Tryon St, Ste 37","qJiLrm3zwTUWyX5pXbGdyQ","Hair Stylists, Hair Salons, Beauty & Spas","Charlotte",True,"35","-81","Lam's Hair Design","28213","5","1","NC"
"7204 E Independence Blvd","hRWXyBJAtSkUuon0x-BWLw","Food, Beer, Wine & Spirits","Charlotte",True,"35","-81","Mecklenburg County ABC Store","28227","6","3","NC"
"2630 W Arrowood Rd, Ste C","GSTKD2spAPcYcPDpXvhwzg","Dentists, Health & Medical, General Dentistry, Pediatric Dentists, Medical Centers","Charlotte",True,"35","-81","All Kids Pediatric Dentistry","28273","7","5","NC"
"5028 South Blvd, Ste 19","_obu5FBdh5R2isv5lEuSzA","Beauty & Spas, Hair Stylists, Blow Dry/Out Services, Hair Salons","Charlotte",True,"35","-81","Hair By Priss","28202","4","5","NC"
"901 E 4th St, Ste B","uMYFhajHSs0Vj5erQHe9yg","Restaurants, Sandwiches, Delis, Fast Food","Charlotte",False,"35","-81","Quiznos","28204","6","4","NC"
NULL,"BBi9QQfQp_vIa5StfxBDRw","Pet Cremation Services, Veterinarians, Pets, Pet Services","Charlotte",True,"35","-81","A Gift of Peace Home Pet Euthanasia","28210","4","5","NC"
"10822 Providence Rd","_DOjM_VGK-ojgjoY6esOdg","Restaurants, Caterers, Barbeque, Event Planning & Services","Charlotte",True,"35","-81","The Q Shack","28277","83","4","NC"
"4600 Park Rd, Ste 380","REKXqDDZokkl5NCseZLH0g","Health & Medical, Naturopathic/Holistic, Chiropractors, Beauty & Spas, Doctors, Medical Spas","Charlotte",True,"35","-81","Charlotte Natural Healing","28209","9","5","NC"
"5126 Park Rd, Ste 1c","w3PwDEbI0EDx4YI_BkFhIA","Pizza, Restaurants, Italian","Charlotte",True,"35","-81","Portofino's","28209","206","4","NC"
"6600 W Wt Harris Blvd","mawWBVn8_vPyxLTl6OTH0Q","Home Services, Garage Door Services","Charlotte",True,"35","-81","ASSA ABLOY Entrance Systems","28269","5","3","NC"
"2224 Park Rd","9k-q8w2MsVuc1KcpwKZ2Hw","Restaurants, Bars, Nightlife, American (Traditional)","Charlotte",True,"35","-81","Comet Grill","28203","64","4","NC"
"2615 E 7th St","PcF44ZYjMvMkKsghJe4GlA","Doctors, Health & Medical, Dermatologists","Charlotte",True,"35","-81","Carolina Skin Surgery Center","28204","3","5","NC"
"3016 Weddington Rd, Ste 100","v0ubf7h2E0OfwGGfkI1S4w","Mexican, Restaurants, Nightlife, Bars","Charlotte",True,"35","-81","Que Onda Tacos Matthews","28105","81","4","NC"
"3920 Colony Rd","QmL38aQAICPpnicNTCAH-Q","Home Services, Mortgage Brokers, Real Estate, Investing, Financial Services, Banks & Credit Unions","Charlotte",True,"35","-81","PNC Bank","28211","3","2","NC"
"2600 Freedom Dr","8FrvLsVaY1LG6NLPuOU2Tg","Auto Repair, Automotive, Tires, Oil Change Stations, Transmission Repair","Charlotte",True,"35","-81","Figs Auto Repair","28208","4","5","NC"
"1327 S Mint St","L8qXp6Wh5zZt4BzllZPGNQ","Breweries, Pubs, Music Venues, Arts & Entertainment, Bars, Nightlife, Venues & Event Spaces, Food, Event Planning & Services","Charlotte",True,"35","-81","The Unknown Brewing","28203","138","4","NC"
"10017 Season Grove Ln","To9YQOlxpIiGzGCkAGYJJQ","Apartments, Home Services, Real Estate","Charlotte",True,"35","-81","Alta Grove Apartments","28216","3","4","NC"
NULL,"HdgTSu4aUHToY1L2BgFUDw","Couriers & Delivery Services, Laundry Services, Dry Cleaning & Laundry, Dry Cleaning, Local Services","Charlotte",True,"35","-81","Dry Clean Delivery",NULL,"3","5","NC"
"4530 Park Rd","8zz5ylHUe20CcJQDZPL_Xg","Property Management, Home Services, Real Estate","Charlotte",True,"35","-81","Hawthorne Management Company","28209","7","2","NC"
"11605 N Community House Rd, Fl 3","xHKnGreov_lHTAn4_JY0Zg","Investing, Financial Services","Charlotte",True,"35","-81","TradeKing","28277","14","2","NC"
NULL,"HFE26zoL72N7MCv2c_2-tQ","Restaurants, Event Planning & Services, Caterers, Indian","Charlotte",True,"35","-81","Balu's Biryani",NULL,"3","5","NC"
"7025 E Independence Blvd","eXw22FQ7jv3Ma2kqfI3Lrg","Auto Parts & Supplies, Auto Repair, Tires, Car Dealers, Automotive","Charlotte",True,"35","-81","Scott Clark Honda","28227","90","2","NC"
"4612 Simsbury Rd","rvjifawS78Cs1ZbUF_wGHw","Home Services, Real Estate, Apartments","Charlotte",True,"35","-81","Camden Foxcroft","28226","7","3","NC"
"13902 S Tryon St","2W9EcfkmJyFVCNykkza4Rw","Shopping, Appliances & Repair, Local Services, Home & Garden","Charlotte",True,"35","-81","Southwest Lawn Equipment","28278","3","3","NC"
"7200 Albermarle Rd","xRVIv9-6y4aGE-kxdUK9BA","Restaurants, Sandwiches, Bars, Nightlife, Chicken Wings","Charlotte",True,"35","-81","Doghouse Bar and Grill","28227","5","3","NC"
"8040 N Tryon St","BnTWSp_Ks_Y1mN9yptZB9Q","Transmission Repair, Tires, Automotive, Auto Repair","Charlotte",False,"35","-81","Griffin Brothers","28262","20","4","NC"
"4400 Sharon Rd","-EkRlTm1xlzM8EyyYAs75Q","Health & Medical, Optometrists","Charlotte",True,"35","-81","Jeffrey I. Musler & Associates","28202","9","3","NC"
"101 South Tryon St","6XN7DP9PD3e_FLmCZiG0Gg","Restaurants, American (Traditional), Sandwiches, Food, Salad, Delis","Charlotte",True,"35","-81","Mcalister's Deli","28280","13","3","NC"
"4310 Sharon Rd","f8DZafEFVw8DVuUFX8lilA","Local Services, Dry Cleaning & Laundry, Sewing & Alterations, Laundry Services","Charlotte",True,"35","-81","Southpark Cleaners and Tailors","28211","4","3","NC"
NULL,"RMNqxIXHhFaesWCGeF26jg","Festivals, Local Flavor, Arts & Entertainment","Charlotte",True,"35","-81","Charlotte Pride Festival & Parade","28206","10","5","NC"
"2711 Randolph Rd, Ste 512","vElwDi7_W_dqVIJSmxdBUg","Obstetricians & Gynecologists, Health & Medical, Doctors","Charlotte",True,"35","-81","Novant Health Randolph OB/GYN - Charlotte","28207","13","3","NC"
"11835 Southmore Dr, Ste 201","-hsFZOFD0dQCb1Yok8gkeg","Dentists, Pediatric Dentists, Health & Medical","Charlotte",True,"35","-81","Charlotte Pediatric Dentistry","28277","5","5","NC"
"6432 Rea Rd","rwKGRClaG905payQZGK9YA","Juice Bars & Smoothies, Food","Charlotte",True,"35","-81","Jamba Juice","28277","15","4","NC"
"8918 S Tryon St","knqQoGg03FVr0QEsN1xFYw","Beauty & Spas, Nail Salons","Charlotte",True,"35","-81","Bella Nail & Bar","28273","19","3","NC"
"401 W Morehead St","xj5y7Y8PEH2zz3GC2ijSog","Radio Stations, Local Flavor, Mass Media","Charlotte",True,"35","-81","WFNZ Doghouse","28202","6","4","NC"
"2700 E Independence Blvd","c9K1RoEEmTDoM2DnGot_NQ","Stadiums & Arenas, Arts & Entertainment","Charlotte",True,"35","-81","Bojangles' Coliseum","28205","34","3","NC"
"9332 S Tryon St","gw2LvIM9tmF08v82t7IwhA","Medical Centers, Health & Medical, Doctors","Charlotte",True,"35","-81","Urgent Care Centers Carolinas Healthcare System","28273","8","5","NC"
"6416 Rea Rd, Ste B7","R4x-LHk-h10HlaC1j-_bJA","Pet Stores, Pets, Pet Services, Pet Groomers, Pet Training","Charlotte",True,"35","-81","Petco","28277","5","4","NC"
"301 S Tryon St, Ste 50","ysq_dA5tsPs3EYGMAL7pTQ","Floral Designers, Shopping, Flowers & Gifts, Florists, Event Planning & Services","Charlotte",True,"35","-81","Flowers Plus","28202","29","5","NC"
"917 Pecan Ave","pyXb959EpDIDqfIBj_x8Jw","Food Trucks, Specialty Food, Acai Bowls, Juice Bars & Smoothies, Fruits & Veggies, Food","Charlotte",True,"35","-81","Rico's Acai","28205","21","4","NC"
"8200 Providence Rd, Ste 500","T6r1CjkbVHMsGpR2dlyXuQ","Food Delivery Services, Asian Fusion, Sushi Bars, Food, Japanese, Restaurants","Charlotte",True,"35","-81","Sushiya Japan","28277","98","4","NC"
"2823 Selwyn Ave, Ste E","atdP-khoQHqDGH2NHYtUnQ","Accessories, Fashion, Women's Clothing, Shopping","Charlotte",True,"35","-81","KK Bloom Boutique","28209","9","4","NC"
"114 Clanton Rd","CN00fzwtYobTQq6s_Qat-g","Shades & Blinds, Auto Glass Services, Automotive, Home Window Tinting, Car Window Tinting, Home Services","Charlotte",True,"35","-81","Sun Stoppers Southend","28217","3","5","NC"
"500 N Poplar St, Apt D","vUPqep1u_D98tmW7_4gw3A","Local Services, Notaries","Charlotte",False,"35","-81","The Mobile Notary Guy","28202","4","3","NC"
"9818 Monroe Rd","-t8HvfwItdforAZaHDzlpw","Fitness & Instruction, Active Life, Martial Arts","Charlotte",False,"35","-81","Charlotte Taekwondo America","28270","3","3","NC"
"7051 South Blvd","9YiIVnH_QokhOCqho28CPg","Food, Fast Food, Burgers, Restaurants, Coffee & Tea","Charlotte",True,"35","-81","McDonald's","28210","11","2","NC"
"7806 Fairview Rd","jbVNpzCNVgWjqrlhOJK4_A","Nail Salons, Beauty & Spas","Charlotte",True,"35","-81","Exquisite Nails","28226","14","3","NC"
"3726 N Tryon St","wmZUubpFZvgi_jtlDD-yRg","Soul Food, American (Traditional), Restaurants","Charlotte",False,"35","-81","Chicken Box","28206","7","3","NC"
"4010 Sharon Rd","H_Bg9XhmLPNKv1xbzHLKaw","Fashion, Used, Vintage & Consignment, Shopping, Accessories, Women's Clothing","Charlotte",True,"35","-81","Capitol Clothing","28211","3","4","NC"
"4422 Colwick Rd","wkZ6P5fDw0G_iFRU-hzBhQ","Sandwiches, Tacos, Italian, Beer, Wine & Spirits, Mexican, Bars, Nightlife, Restaurants, Food, Pizza","Charlotte",True,"35","-81","The Pizza Peel","28211","151","4","NC"
NULL,"F2Pi-2W-ZJ44hztezz_DsA","Life Coach, Business Consulting, Career Counseling, Professional Services","Charlotte",True,"35","-81","Tiffany Mason Coaching and Consulting","28105","3","5","NC"
"14815 Ballantyne Village Way","OEHudiPlJ_bx5Kn5E-RgaQ","Day Spas, Beauty & Spas, Hair Removal","Charlotte",True,"35","-81","Virun Aesthetics","28277","3","5","NC"
"5135 Albemarle Rd","5lVrzwXAgnbOlczfdWpgJA","Restaurants, Mexican, Latin American","Charlotte",True,"35","-81","Fonda La Taquiza","28205","37","4","NC"
"400 South Tryon St, Ste M4","QRGjkoL9z0qMs97HtdCZ7A","Health & Medical, Oral Surgeons, Endodontists, Cosmetic Dentists, Dentists, General Dentistry","Charlotte",True,"35","-81","Uptown Premier Dentistry","28285","3","5","NC"
"8625 D Monroe Rd","FAtMpWfFsFsq8htZCuCSgQ","Latin American, Restaurants","Charlotte",False,"35","-81","Caribbean Delights","28212","5","5","NC"
"101 E Wt Harris Blvd, Ste 5002","3E2YILJ5G1dS5HjitUpW6A","Doctors, Medical Centers, Internal Medicine, Health & Medical","Charlotte",True,"35","-81","North Charlotte Medical Specialists","28262","3","2","NC"
"300 S Church St","uS_64bCtcXkIDkvRhVGV4w","Home & Garden, Food, Arts & Entertainment, Shopping, Pretzels, Festivals, Christmas Trees","Charlotte",True,"35","-81","Charlotte Christmas Village","28202","14","3","NC"
"9430 S Blvd","9jnhErNXJ0fvDJAgiUMnTA","Restaurants, Buffets","Charlotte",True,"35","-81","Golden Corral","28273","30","2","NC"
"7860 Rea Rd","k6m_tyBCQ7Pe2BeHXFXj6w","Shopping, Fashion, Department Stores","Charlotte",True,"35","-81","Target","28277","27","4","NC"
"101 S Tryon St, Ste 6","kOJGzOo4pbyudsi4XxP_Jw","Mobile Phones, Data Recovery, Shopping, Mobile Phone Accessories, Local Services, Electronics Repair, IT Services & Computer Repair, Mobile Phone Repair","Charlotte",True,"35","-81","Staymobile","28280","10","4","NC"
"520 University Center Blvd","dFuesggbkAFUUnKcihT3vA","Nightlife, Pizza, Restaurants, Sports Bars, Burgers, American (Traditional), Bars, American (New)","Charlotte",False,"35","-81","Bikinis Sports Bar & Grill","28262","31","3","NC"
"201 S Tryon","c_GeUPI0qjilmWp8QNK-oQ","Coffee & Tea, Food, Cafes, Restaurants, Specialty Food, Grocery, Sandwiches","Charlotte",False,"35","-81","Dean & DeLuca - Tryon Cafe","28202","76","4","NC"
"2601 South Blvd","-re6UtqoZYQirigO6eHf9Q","Food, Automotive, Gas Stations, Convenience Stores, Service Stations, Coffee & Tea, Gas Stations","Charlotte",True,"35","-81","7-Eleven","28209","4","3","NC"
"2000 South Blvd","mbqd870zOPTiHmYfNWX_oQ","Shopping, Flowers & Gifts, Florists, Event Planning & Services, Wedding Planning","Charlotte",True,"35","-81","Bookout Blooms","28203","4","5","NC"
"6605 Saddle Point Rd","lCncY0YWZe9spduWGh8m3A","IT Services & Computer Repair, Home Theatre Installation, Local Services, Home Services, Computers, Shopping, TV Mounting","Charlotte",True,"35","-81","Savant PCs","28212","3","5","NC"
"144 Brevard Ct, Ste A","pqJ_L-7WC2pDdUa2GLDwRQ","Nightlife, Cocktail Bars, Bars, Irish Pub","Charlotte",True,"35","-81","The Belfast Mill","28202","59","5","NC"
"1412 East Blvd","GQtxA4wuYpbgU-BZ2ReU7g","Active Life, Kickboxing, Circuit Training Gyms, Boxing, Martial Arts, Fitness & Instruction, Gyms, Trainers, Yoga","Charlotte",True,"35","-81","9ROUND","28203","25","5","NC"
"13000 York Rd, Ste G","IO30HMw9rq9bB7HPQtLFSA","Nail Salons, Beauty & Spas","Charlotte",True,"35","-81","V Nail & Tan","28278","8","3","NC"
"4800 S Tryon St","nh1StiltxvClOOkaSLuOEg","Restaurants, Steakhouses","Charlotte",False,"35","-81","Omaha Steak House","28217","28","3","NC"
"7017 Bickham Ln","XmaXbKKuPnZM5jB7TXaW0A","Pets, Veterinarians","Charlotte",True,"35","-81","Gentle Sleep Mobile In-Home Pet Euthanasia","28269","3","5","NC"
"1222 East Blvd","mrg86GYXdmvlA5tn_-4MDg","Home Decor, Jewelry, Home & Garden, Shopping, Antiques, Flowers & Gifts","Charlotte",False,"35","-81","Sticki Rice","28202","4","4","NC"
"8118 Statesville Rd, Ste E","R2O7YX8Y-FIkb_HpIz_pbw","Local Services, Printing Services, Fashion, Sporting Goods, Sports Wear, Arts & Entertainment, Shopping, Screen Printing, Personal Shopping, Screen Printing/T-Shirt Printing","Charlotte",True,"35","-81","Epic Apparel","28269","3","4","NC"
"6010 McDaniel","DoR5xyii7WPsqSZeFUjt6A","Home & Garden, Contractors, Interior Design, Shopping, Fences & Gates, Home Services, Home Decor","Charlotte",True,"35","-81","Decorative Iron","28213","3","3","NC"
"6520 McMahan Dr","6waYGrs57VvZXjnJsTGbMA","Pet Sitting, Pets, Veterinarians, Pet Services","Charlotte",True,"35","-81","Atrium Animal Hospital","28226","25","4","NC"
"655 W Mallard Creek Church Rd","SkvQQdMOM3HVJH03O-ML0w","Real Estate, Apartments, Home Services","Charlotte",True,"35","-81","Phillips Mallard Creek Apartments","28262","3","2","NC"
"2000 S Blvd","6REO-CTURdefcJv3PRyAEg","Shopping, Home & Garden, Women's Clothing, Fashion, Home Decor","Charlotte",True,"35","-81","Anthropologie","28203","14","5","NC"
"6401 Carmel Rd","Tz1Oj-tzK-g4iB-QqlVlBg","Barbers, Beauty & Spas","Charlotte",True,"35","-81","Carmel Span Family Barber Shop","28226","3","4","NC"
"217 Iverson Way","qrPbFiwRT5F_4HLHZVL26Q","Home & Garden, Shopping, Hardware Stores","Charlotte",True,"35","-81","Lowe's","28203","67","3","NC"
